filename,face_w,face_h,score,sharpness,recommended_det_set,hint
H230231.JPG,-,-,-,174.24,bad,no face detected
H180043.JPG,-,-,-,54.02,bad,no face detected
H220231.JPG,-,-,-,159.5,bad,no face detected
H160080.JPG,-,-,-,266.47,bad,no face detected
H160101.JPG,-,-,-,178.62,bad,no face detected
H230014_01_01.JPG,678,830,0.804,42.48,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H220023.JPG,-,-,-,185.8,bad,no face detected
H230224_2.jpg,-,-,-,64.52,bad,no face detected
H210039.JPG,-,-,-,35.48,bad,no face detected
H200043.JPG,-,-,-,65.54,bad,no face detected
Nergz.png,-,-,-,136.54,bad,no face detected
H190079.JPG,-,-,-,213.71,bad,no face detected
H250052.JPG,-,-,-,199.99,bad,no face detected
H180026_01_01.JPG,681,842,0.782,17.96,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H230015.JPG,-,-,-,118.47,bad,no face detected
H210021_01_01.JPG,701,936,0.631,23.99,2048x2048,low score; try frontal face & better lighting; non-frontal or tilted face; image blurry; stabilize camera
H220209_01_01.JPG,647,775,0.811,58.3,2048x2048,acceptable score; frontal & higher res helps; slightly soft image; avoid motion blur
BISK264.png,-,-,-,15.27,bad,no face detected
H190075.JPG,-,-,-,64.5,bad,no face detected
H210038.JPG,-,-,-,72.54,bad,no face detected
H250074_01_01.JPG,-,-,-,19.57,bad,no face detected
H130471_01_01.JPG,-,-,-,49.11,bad,no face detected
H220197.JPG,-,-,-,77.46,bad,no face detected
H210182_01_01.JPG,-,-,-,18.9,bad,no face detected
H220041.JPG,-,-,-,175.3,bad,no face detected
H220215.JPG,-,-,-,73.36,bad,no face detected
H250013000001_01_01.JPG,-,-,-,86.0,bad,no face detected
BISK401.png,-,-,-,53.11,bad,no face detected
H210007_01_01.JPG,693,882,0.736,23.23,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H220124_01_01.JPG,-,-,-,61.98,bad,no face detected
H250036.JPG,-,-,-,163.37,bad,no face detected
H250104.jpg,-,-,-,56.33,bad,no face detected
H18004500000_01_01.JPG,-,-,-,26.72,bad,no face detected
H140209.JPG,-,-,-,152.37,bad,no face detected
H220196_01_01.JPG,718,910,0.649,28.82,2048x2048,low score; try frontal face & better lighting; image blurry; stabilize camera
H250026_01_01.JPG,555,737,0.814,20.65,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H230175_01_01.JPG,-,-,-,41.17,bad,no face detected
H160101_01_01.JPG,720,912,0.588,53.91,2048x2048,very low detection score; improve lighting; slightly soft image; avoid motion blur
H190071.JPG,-,-,-,730.99,bad,no face detected
H180077_01_01.JPG,-,-,-,7.59,bad,no face detected
H210220_01_01.JPG,706,962,0.534,27.09,2048x2048,very low detection score; improve lighting; non-frontal or tilted face; image blurry; stabilize camera
H130292_01_01.JPG,-,-,-,32.66,bad,no face detected
H250113_01_01.JPG,651,869,0.794,32.05,2048x2048,acceptable score; frontal & higher res helps; non-frontal or tilted face; image blurry; stabilize camera
H230062.JPG,-,-,-,47.95,bad,no face detected
H150057.JPG,-,-,-,137.25,bad,no face detected
BISK230.png,-,-,-,66.18,bad,no face detected
H250092_01_01.JPG,668,946,0.706,32.8,2048x2048,low score; try frontal face & better lighting; non-frontal or tilted face; image blurry; stabilize camera
H220086.JPG,-,-,-,38.28,bad,no face detected
H130247_01_01.JPG,643,752,0.804,9.37,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H210149_01_01.JPG,743,854,0.688,77.28,2048x2048,low score; try frontal face & better lighting; slightly soft image; avoid motion blur
H220162.JPG,-,-,-,104.77,bad,no face detected
H180064_01_01.JPG,606,759,0.852,36.99,2048x2048,good quality; image blurry; stabilize camera
H250034_01_01.JPG,-,-,-,6.68,bad,no face detected
H180079.JPG,-,-,-,59.66,bad,no face detected
H220197_01_01.JPG,-,-,-,28.89,bad,no face detected
H210253.JPG,-,-,-,114.57,bad,no face detected
H20004300000_01_01.JPG,-,-,-,27.59,bad,no face detected
H230150_01_01.JPG,-,-,-,30.64,bad,no face detected
BISK-F16.png,583,799,0.845,70.65,2048x2048,acceptable score; frontal & higher res helps; non-frontal or tilted face; slightly soft image; avoid motion blur
H230185.JPG,-,-,-,89.83,bad,no face detected
H190005.JPG,-,-,-,387.73,bad,no face detected
H230149.JPG,-,-,-,164.48,bad,no face detected
H210145_01_01.JPG,683,829,0.812,23.13,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H140119.JPG,-,-,-,132.8,bad,no face detected
H170130.JPG,-,-,-,81.33,bad,no face detected
BISK202.png,-,-,-,92.02,bad,no face detected
H200051_01_01.JPG,-,-,-,36.98,bad,no face detected
H290058_01_01.JPG,660,822,0.804,33.29,2048x2048,acceptable score; frontal & higher res helps; image blurry; stabilize camera
H130185.JPG,-,-,-,319.57,bad,no face detected
H220308_01_01.JPG,-,-,-,39.4,bad,no face detected
H230063.JPG,-,-,-,358.78,bad,no face detected
H220268_01_01.JPG,664,850,0.815,95.21,2048x2048,acceptable score; frontal & higher res helps; slightly soft image; avoid motion blur
H230152.JPG,-,-,-,194.26,bad,no face detected
H210009.JPG,-,-,-,153.69,bad,no face detected
H180017.JPG,-,-,-,14.32,bad,no face detected
H210087.JPG,-,-,-,149.06,bad,no face detected
H210221.JPG,-,-,-,226.99,bad,no face detected
H230224.jpg,-,-,-,260.02,bad,no face detected
H230016.JPG,-,-,-,43.77,bad,no face detected
H250096_01_01.JPG,-,-,-,55.86,bad,no face detected
BISK434.JPG,-,-,-,67.05,bad,no face detected
BISK413.png,-,-,-,48.69,bad,no face detected
H170045.JPG,-,-,-,217.59,bad,no face detected
H210238.JPG,-,-,-,165.74,bad,no face detected
BISK367.png,-,-,-,2.04,bad,no face detected
H220106.JPG,-,-,-,193.4,bad,no face detected
H210215.JPG,-,-,-,200.48,bad,no face detected
H210268.JPG,-,-,-,151.86,bad,no face detected
BISK279.png,-,-,-,187.43,bad,no face detected
H170088_01_01.JPG,620,862,0.847,28.0,2048x2048,acceptable score; frontal & higher res helps; non-frontal or tilted face; image blurry; stabilize camera
BISK321.png,-,-,-,149.41,bad,no face detected
H250081_01_01.JPG,580,673,0.851,36.64,1024x1024,good quality; image blurry; stabilize camera
H220023_01_01.JPG,-,-,-,35.84,bad,no face detected
H230121.JPG,-,-,-,65.61,bad,no face detected
H250005.JPG,-,-,-,105.02,bad,no face detected
H220309.JPG,-,-,-,749.7,bad,no face detected
BISK343.png,-,-,-,884.38,bad,no face detected
H160080_01_01.JPG,-,-,-,91.26,bad,no face detected
H210067.JPG,-,-,-,142.58,bad,no face detected
H250004.JPG,-,-,-,117.65,bad,no face detected
H120025.JPG,-,-,-,307.67,bad,no face detected
H210018.JPG,-,-,-,64.8,bad,no face detected
H190043_01_01.JPG,-,-,-,20.37,bad,no face detected
H230090.JPG,-,-,-,111.56,bad,no face detected
H220036_01_01.JPG,-,-,-,12.64,bad,no face detected
